frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1832,617,1168.26,0.202
2,1836,606,1035.67,0.5926
3,1774,588,995.89,1.1771
4,1721,562,1003.87,1.9649
5,1710,546,1009.45,2.9513
6,1663,521,1008.42,4.1259
7,1690,496,1000.76,5.4921
8,1640,526,992.43,7.0497
9,1657,548,996.0,8.802
10,1632,584,1025.12,10.7454
11,1536,534,977.19,12.8848
12,1436,552,968.76,15.2121
13,1440,568,1015.06,17.7331
14,1433,537,982.99,20.4433
15,1534,561,1020.59,23.3453
16,1607,554,1012.05,26.4414
17,1754,559,1010.74,29.7321
18,1870,528,988.86,33.216
19,1875,504,1019.73,36.8949
20,1760,536,1016.5,40.769
21,1710,545,1028.01,44.8382
22,1669,545,987.5,49.1046
23,1568,520,982.4,53.5717
24,1565,585,1032.58,58.2352
25,1703,605,997.38,63.0896
26,1797,575,1058.61,68.1437
27,1959,623,1057.51,73.4043
28,1961,626,1053.08,78.8538
29,2166,666,1036.15,84.4997
30,2270,672,995.92,90.3439
31,2182,731,1055.25,96.3848
32,2022,773,1036.18,102.6258
33,1877,760,1023.7,109.0764
34,1848,769,1049.4,115.7247
35,1924,797,996.56,122.5699
36,1956,726,1042.09,129.6284
37,2097,721,1009.96,136.8918
38,2113,698,1030.75,144.3548
39,2183,742,1031.12,152.021
40,2248,739,1103.97,159.9042
41,2309,710,1051.33,167.9935
42,2357,675,1054.04,176.2806
43,2364,653,1078.62,184.7758
44,2367,670,1020.39,193.4736
45,2390,640,1068.06,202.3731
46,2285,611,1011.5,211.4785
47,2157,611,1064.57,220.7867
48,2118,562,1029.31,230.3001
49,2065,572,1082.98,240.0205
50,2124,556,1057.86,249.9481
