frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,198,725.26,0.2038
2,500,102,322.69,0.5917
3,500,218,397.17,1.1808
4,500,232,386.36,1.9589
5,500,218,393.39,2.9328
6,500,190,339.81,4.0992
7,500,191,385.06,5.4592
8,500,183,474.12,7.0182
9,500,163,374.46,8.7671
10,500,188,324.43,11.8418
11,500,190,331.44,15.0786
12,500,223,367.17,19.6912
13,500,203,348.14,24.3988
14,500,189,351.3,29.2413
15,500,172,346.53,34.2342
16,500,161,345.02,39.413
17,500,181,349.89,44.7592
18,500,154,353.66,50.2933
19,500,141,360.58,56.0165
20,500,167,353.18,61.943
21,500,167,341.44,68.0936
22,500,220,363.75,74.5353
23,500,252,336.55,81.2282
24,500,277,335.31,88.1651
25,500,260,357.13,95.3348
26,500,253,361.21,102.774
27,500,238,367.21,110.4583
28,500,233,327.96,118.4342
29,500,243,322.47,126.6915
30,500,239,373.84,135.2214
31,500,248,347.68,144.3816
32,500,273,331.53,153.9075
33,500,287,321.58,163.8831
34,500,283,352.71,174.3096
35,500,270,332.92,185.1839
36,500,291,353.88,196.626
37,500,269,348.0,208.7512
38,500,259,345.26,221.4053
39,500,248,326.67,234.6418
40,500,244,350.21,248.4933
41,500,248,370.81,263.023
42,500,234,323.4,278.1732
43,500,231,358.93,293.9718
44,500,202,318.74,310.442
45,500,201,359.85,327.6118
46,500,61,303.89,344.9242
47,500,197,362.58,363.149
48,500,202,349.09,382.2618
49,500,208,325.95,402.2724
50,500,195,323.42,423.2308
