frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,231,431.91,0.0698
2,500,249,336.5,0.1445
3,500,218,385.91,0.2596
4,500,218,371.1,0.4091
5,500,240,359.7,0.5983
6,500,259,365.16,0.8622
7,500,246,343.32,1.2019
8,500,282,403.25,1.6183
9,500,256,362.82,2.0868
10,500,228,322.16,2.6238
11,500,237,372.75,3.2492
12,500,216,335.86,3.9286
13,500,215,363.47,4.7134
14,500,209,331.26,5.6483
15,500,278,339.61,6.6288
16,500,33,349.55,7.6885
17,500,283,345.52,8.8465
18,500,263,369.94,10.1278
19,500,253,357.4,11.5387
20,500,238,341.51,13.0773
21,500,249,360.53,14.6969
22,500,266,377.06,16.4471
23,500,237,358.36,18.2983
24,500,204,334.0,20.27
25,500,203,354.06,22.3571
26,500,194,377.73,24.5566
27,500,183,358.77,26.8933
28,500,172,338.14,29.396
29,500,214,358.19,32.0606
30,500,224,371.36,34.9096
31,500,233,360.6,37.9434
32,500,218,331.91,41.1757
33,500,260,343.83,44.6232
34,500,88,316.64,48.2931
35,500,241,316.7,52.1853
36,500,238,326.53,56.3161
37,500,237,347.82,60.7022
38,500,85,320.59,65.3488
39,500,256,356.72,70.2636
40,500,235,374.03,75.4183
41,500,240,363.09,80.8803
42,500,244,350.17,86.5083
43,500,242,373.58,92.4486
44,500,221,518.98,98.7067
45,500,206,344.71,105.3022
46,500,211,357.43,112.2379
47,500,247,388.76,119.5363
48,500,239,371.77,127.1907
49,500,236,382.17,135.1928
50,500,265,368.17,143.5788
51,500,250,354.36,152.353
52,500,271,375.2,161.5372
53,500,235,342.24,171.1515
54,500,263,369.05,181.197
55,500,259,350.45,191.6631
56,500,269,354.38,202.1532
57,500,267,338.05,213.0771
58,500,269,338.76,223.8304
59,500,259,349.24,234.8269
60,500,259,338.2,245.8488
61,500,249,346.87,257.0048
62,500,249,349.93,268.3331
63,500,227,361.54,280.2274
64,500,198,324.8,292.5369
65,500,228,355.9,305.5239
66,500,210,345.58,319.2319
67,500,251,368.45,333.2942
68,500,250,353.46,347.823
69,500,272,326.82,363.1006
70,500,265,337.83,379.0081
71,500,290,376.42,395.6049
72,500,300,353.41,413.0011
73,500,321,355.23,431.0883
74,500,304,353.0,449.7271
75,500,324,329.4,468.7536
76,500,308,374.23,488.5756
77,500,317,336.69,509.0868
78,500,304,366.47,530.1929
79,500,287,326.22,551.7591
80,500,289,348.53,574.0101
81,500,296,357.79,596.8964
82,500,291,328.19,619.5543
83,500,335,335.46,642.8082
84,500,335,333.37,666.7107
85,500,341,346.26,691.1982
86,500,345,356.5,716.2687
87,500,344,352.2,741.2912
88,500,332,367.21,766.9065
89,500,77,337.13,792.2423
90,500,357,393.93,817.4827
91,500,325,355.18,842.9596
92,500,316,367.72,868.636
93,500,107,334.86,894.6066
94,500,340,356.82,920.7595
95,500,82,330.65,946.9737
96,500,335,336.07,973.3574
97,500,302,342.11,999.8651
98,500,320,355.78,1026.4438
99,500,301,368.15,1053.1115
