frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,805,484,1054.9,0.5786
2,763,475,979.87,1.7327
3,835,529,971.96,3.4583
4,800,516,982.82,5.7435
5,843,527,959.58,8.5708
6,820,481,969.47,11.9289
7,800,495,972.84,15.8036
8,819,461,984.01,20.1884
9,878,454,992.08,25.0548
10,871,474,955.14,30.3989
11,982,483,967.14,36.1823
12,919,470,1000.67,42.4304
13,944,480,978.4,49.1031
14,917,475,968.55,56.1518
15,980,487,1000.69,63.5691
16,996,463,979.61,71.3008
17,989,436,983.24,79.3787
18,1003,439,966.86,87.7318
19,959,407,977.26,96.3449
20,893,405,935.82,105.1989
21,883,377,985.27,114.297
22,917,382,929.32,123.6097
23,935,396,983.95,133.0998
24,908,394,956.44,142.7482
25,931,398,968.87,152.5441
26,906,383,958.83,162.47
27,870,371,992.93,172.5099
28,876,400,965.01,182.6499
29,904,411,959.15,192.865
30,902,425,943.3,203.1147
31,935,471,1001.32,213.4027
32,975,478,962.37,223.7221
33,993,466,964.58,234.0533
34,1003,461,988.23,244.3893
35,1020,468,979.55,254.7228
36,1102,488,1002.85,265.0525
37,1141,481,974.07,275.3989
38,1145,463,995.99,285.7713
39,1108,451,1011.41,296.1172
40,1126,460,1020.3,306.4734
41,1151,453,987.01,316.8343
42,1188,426,995.09,327.1841
43,1234,422,1020.74,337.5624
44,1183,399,979.59,347.9838
45,1201,436,958.37,358.4212
46,1171,468,992.94,368.8633
47,1176,426,978.26,379.3008
48,1228,470,957.56,389.7988
49,1270,453,1014.39,400.3843
50,1319,479,1009.71,411.0501
51,1323,458,963.05,421.8293
52,1330,446,1012.02,432.6877
53,1282,424,960.76,443.691
54,1209,362,990.38,454.7556
55,1251,355,980.12,465.9359
56,1203,377,977.07,477.2558
57,1113,430,988.43,488.7404
58,1089,425,995.23,500.379
59,1067,391,975.5,512.1535
60,992,376,983.38,524.1057
61,949,367,945.47,536.2273
62,1003,352,1053.56,548.5042
63,1087,372,953.3,560.9091
64,1053,323,968.62,573.4745
65,1073,337,951.98,586.2269
66,1118,347,970.84,599.1742
67,1114,342,944.85,612.3204
68,1190,424,1022.38,625.7105
69,1018,461,943.07,639.3536
70,1088,450,974.31,653.2113
71,1129,437,977.62,667.3063
72,1151,409,978.45,681.7051
73,1161,407,965.67,696.3528
74,1130,427,985.21,711.2907
75,1170,396,974.51,726.5121
76,1142,359,987.44,742.0137
77,1161,327,958.64,757.7878
78,1130,340,1004.49,773.8798
79,980,373,964.62,790.2759
80,965,386,962.76,806.9899
81,935,358,940.77,824.0562
82,990,385,974.51,841.4583
83,1085,360,961.95,859.1958
84,1096,340,1012.84,877.2892
85,1242,364,1012.66,895.7047
86,1244,313,982.21,914.4666
87,1207,312,999.68,933.5767
88,1113,291,962.91,953.0384
89,1172,339,955.72,972.884
90,1077,375,958.83,993.1223
91,1021,342,942.68,1013.7642
92,1040,328,982.59,1034.8076
93,1054,329,997.6,1056.2591
94,1108,337,978.71,1078.1605
95,1047,332,960.83,1100.4704
96,1087,310,945.0,1123.2047
97,1146,329,968.31,1146.3763
98,1129,347,962.3,1169.9732
99,1196,370,962.43,1194.0082
100,1110,431,1013.81,1218.4825
