frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,235,414.27,0.531
2,500,239,328.2,2.3104
3,500,294,207.04,4.5155
4,500,305,338.28,6.7209
5,500,289,356.44,8.9513
6,500,313,432.39,11.1954
7,500,342,384.47,13.502
8,500,310,373.34,15.7899
9,500,354,571.16,18.1352
10,500,370,324.0,20.4286
11,500,363,358.11,22.6849
12,500,384,394.91,25.1088
13,500,372,371.85,27.5147
14,500,368,356.75,30.0688
15,500,335,343.28,32.6682
16,500,329,324.27,35.2536
17,500,314,355.73,37.8358
18,500,342,323.66,40.3819
19,500,323,354.28,42.8907
20,500,338,324.72,45.3699
21,500,318,331.95,47.8182
22,500,322,359.68,50.2882
23,500,279,324.33,52.71
24,500,288,342.7,55.2544
25,500,55,322.8,58.0303
26,500,25,322.52,60.9572
27,500,292,353.12,63.8821
28,500,287,340.88,66.793
29,500,295,366.55,69.711
30,500,309,485.58,72.682
31,500,298,353.54,75.702
32,500,329,354.37,78.6963
33,500,333,368.26,81.8629
34,500,304,323.88,85.1301
35,500,35,323.68,88.4264
36,500,327,355.23,91.8021
37,500,42,316.5,95.2451
38,500,300,335.74,98.8082
39,500,341,361.74,102.4494
40,500,316,346.08,106.2242
41,500,338,355.57,110.2679
42,500,320,357.09,115.1589
43,500,310,326.4,120.2044
44,500,332,359.78,125.4441
45,500,316,357.8,130.8275
46,500,346,355.37,136.3345
47,500,360,367.04,142.047
48,500,360,333.0,147.9485
49,500,350,349.73,154.0453
50,500,343,332.45,160.4323
