frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,354,447.32,0.5812
2,500,341,344.94,1.7434
3,500,334,379.27,3.4599
4,500,318,348.15,5.7461
5,500,316,336.29,8.5727
6,500,299,352.07,11.9038
7,500,287,340.56,15.6589
8,500,265,325.69,19.9657
9,500,268,346.6,24.7276
10,500,262,319.68,29.939
11,500,251,353.85,35.6204
12,500,292,339.82,41.6943
13,500,290,354.66,48.1242
14,500,240,339.11,54.9484
15,500,257,324.01,62.1003
16,500,221,342.94,69.535
17,500,194,333.95,77.2176
18,500,182,327.11,85.2303
19,500,182,306.54,93.4337
20,500,127,312.93,101.8444
21,500,201,325.2,110.4019
22,500,202,331.96,119.2461
23,500,86,325.59,128.1437
24,500,245,395.45,136.9979
25,500,271,397.26,145.9333
26,500,263,341.72,155.0981
27,500,279,334.22,164.649
28,500,269,354.72,173.8183
29,500,294,344.67,183.2249
30,500,304,335.77,192.6707
31,500,65,298.31,200.7547
32,500,309,350.18,208.9043
33,500,312,358.05,216.9332
34,500,270,325.57,225.0233
35,500,274,313.12,232.3593
36,500,254,367.39,239.6633
37,500,275,355.14,246.5658
38,500,251,324.12,253.7306
39,500,257,359.21,260.9609
40,500,264,325.93,268.3135
41,500,235,338.69,275.6798
42,500,166,328.16,282.866
43,500,166,349.66,290.2801
44,500,168,320.91,298.7865
45,500,216,338.68,307.2008
46,500,220,328.59,315.4522
47,500,192,362.98,323.695
48,500,197,332.72,331.8771
49,500,200,328.24,340.0627
50,500,177,332.26,348.3272
51,500,187,324.2,356.7315
52,500,176,334.23,364.8933
53,500,197,346.48,373.7249
54,500,211,322.62,382.9973
55,500,223,333.63,393.5399
56,500,234,330.82,404.5747
57,500,232,367.8,415.8579
58,500,260,351.16,428.0299
59,500,296,358.31,440.6857
60,500,307,343.19,453.5533
61,500,275,351.23,466.5846
62,500,167,342.28,480.0879
63,500,271,327.56,493.9684
64,500,272,344.46,507.7462
65,500,280,359.82,521.6911
66,500,219,318.25,535.8408
67,500,191,341.79,550.1681
68,500,259,328.17,564.7852
69,500,280,333.67,579.4802
70,500,256,323.18,594.4738
71,500,254,344.87,609.6443
72,500,219,321.31,625.0697
73,500,213,337.66,640.7379
74,500,226,338.38,656.6446
75,500,230,349.85,672.8214
76,500,182,348.53,689.2777
77,500,195,343.68,705.9473
78,500,196,335.47,722.9173
79,500,217,342.46,740.1682
80,500,40,307.05,757.7485
81,500,195,321.18,775.6624
82,500,195,329.35,793.9153
83,500,192,322.47,812.5009
84,500,192,347.47,831.4523
85,500,161,328.66,850.7759
86,500,169,358.19,870.4639
87,500,173,331.2,890.5369
88,500,196,367.65,911.0166
89,500,192,331.34,931.8851
90,500,162,311.24,953.1903
91,500,149,309.44,974.8887
92,500,170,330.73,997.0074
93,500,218,353.8,1019.5576
94,500,243,301.95,1042.5833
95,500,238,311.73,1066.0252
96,500,241,351.81,1089.8963
97,500,237,337.95,1114.1909
98,500,253,332.73,1138.9033
99,500,249,324.46,1164.0504
100,500,232,337.09,1189.6359
