frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,400,424.89,0.91
2,500,403,351.44,2.7274
3,500,393,344.71,5.435
4,500,378,344.18,9.0368
5,500,389,332.58,13.5031
6,500,392,338.87,18.8395
7,500,382,322.17,25.0186
8,500,386,342.3,31.941
9,500,374,358.31,39.6979
10,500,358,359.04,48.2705
11,500,356,333.38,57.6521
12,500,355,370.79,67.8345
13,500,357,351.35,78.819
14,500,368,334.28,90.5457
15,500,366,340.66,103.0609
16,500,388,327.82,116.3527
17,500,364,344.48,130.4029
18,500,345,363.91,145.2168
19,500,363,332.0,160.6953
20,500,362,319.87,176.6594
21,500,382,353.19,193.3833
22,500,333,342.84,210.8444
23,500,319,318.3,228.4452
24,500,326,381.03,246.7755
25,500,298,362.13,265.8436
26,500,303,354.25,285.6283
27,500,267,355.42,306.0923
28,500,246,360.23,327.2136
29,500,147,312.66,348.9605
30,500,262,322.72,371.2911
31,500,290,332.22,394.3309
32,500,321,348.91,417.9101
33,500,358,379.26,441.881
34,500,340,323.89,466.2507
35,500,348,338.05,491.1521
36,500,320,332.99,516.4634
37,500,316,344.39,542.2254
38,500,306,341.53,568.4181
39,500,318,353.36,595.0992
40,500,336,341.2,622.186
41,500,50,293.48,649.6662
42,500,244,337.1,677.5393
43,500,258,316.95,705.6977
44,500,284,382.9,734.169
45,500,260,463.51,762.9666
46,500,243,384.38,792.1189
47,500,262,329.14,821.5789
48,500,257,329.19,851.3251
49,500,275,365.48,881.3456
50,500,257,328.43,911.6368
51,500,288,495.52,942.195
52,500,317,332.13,973.002
53,500,343,390.97,1004.0695
54,500,361,375.24,1035.3246
55,500,337,363.98,1066.9064
56,500,332,328.66,1098.6657
57,500,334,343.64,1130.7241
58,500,337,341.88,1163.0056
59,500,373,338.37,1195.5304
60,500,346,346.84,1228.4636
61,500,379,362.32,1260.308
62,500,341,319.2,1292.4376
63,500,338,345.97,1324.8535
64,500,336,343.46,1357.6295
65,500,334,341.67,1390.6928
66,500,327,340.01,1424.0985
67,500,321,339.58,1457.877
68,500,341,343.19,1491.9061
69,500,329,338.33,1526.1692
70,500,347,360.46,1560.7224
71,500,331,350.13,1595.5383
72,500,337,357.36,1630.5644
73,500,329,390.26,1665.8343
74,500,312,343.52,1701.4072
75,500,305,337.56,1737.2143
76,500,290,340.25,1773.1248
77,500,313,335.7,1809.3655
78,500,300,324.44,1845.8852
79,500,281,352.31,1882.6558
80,500,288,350.71,1919.599
81,500,149,317.41,1956.8966
82,500,268,346.53,1994.5278
83,500,270,358.8,2032.4303
84,500,250,339.69,2070.5171
85,500,244,337.28,2108.9858
86,500,251,356.45,2147.6111
87,500,237,353.27,2186.4437
88,500,233,332.85,2225.4964
89,500,247,333.1,2264.7646
90,500,277,340.34,2304.141
91,500,280,338.18,2343.7351
92,500,283,329.65,2383.5404
93,500,283,343.44,2423.563
94,500,234,351.77,2463.8588
95,500,298,346.38,2504.3874
96,500,283,328.38,2545.2141
97,500,282,338.16,2586.2793
98,500,161,367.0,2627.6014
99,500,282,327.98,2669.1757
