frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1243,941,1086.76,0.9066
2,1269,969,999.77,2.7168
3,1229,915,981.1,5.4283
4,1269,948,1000.26,9.0345
5,1237,902,1002.14,13.5213
6,1242,903,970.6,18.879
7,1238,908,987.52,25.0948
8,1245,898,1018.47,32.156
9,1282,925,1022.67,40.0487
10,1308,953,1045.22,48.7648
11,1353,917,1024.87,58.265
12,1338,952,1015.87,68.5767
13,1333,937,1021.66,79.6872
14,1348,937,1021.61,91.5374
15,1352,987,1042.01,104.1017
16,1384,996,1040.06,117.433
17,1403,995,1019.2,131.5288
18,1428,998,1021.8,146.3558
19,1420,981,1021.22,161.9146
20,1457,1025,1009.21,178.2141
21,1467,992,1015.36,195.2353
22,1525,1055,1006.88,212.9856
23,1569,1034,1060.65,231.4214
24,1678,1013,1021.06,250.528
25,1698,995,1023.82,270.2657
26,1680,931,1027.8,290.7179
27,1685,901,1050.74,311.7546
28,1732,853,1038.36,333.3788
29,1687,837,1054.69,355.5577
30,1720,859,999.47,378.2463
31,1640,775,1023.92,401.4652
32,1541,779,1009.39,425.13
33,1331,798,1007.33,449.1929
34,1219,775,1016.67,473.6973
35,1197,730,991.74,498.5444
36,1152,686,992.32,523.8208
37,1046,663,990.71,549.4533
38,999,626,987.64,575.3995
39,988,658,956.7,601.7
40,997,593,961.75,628.3295
41,1060,613,990.01,655.2609
42,1093,630,1011.16,682.5177
43,1152,627,986.05,710.0304
44,1187,606,973.04,737.8132
45,1267,634,1044.09,765.8361
46,1276,653,1001.88,794.1395
47,1301,657,1000.92,822.6653
48,1320,694,963.91,851.4461
49,1386,719,990.77,880.4554
50,1546,759,982.07,909.7326
51,1655,829,1013.61,939.2353
52,1771,909,1077.15,968.9659
53,1822,914,1044.3,998.9462
54,1903,932,1047.43,1029.1259
55,1998,911,1022.82,1059.55
56,1920,794,1038.19,1090.172
57,1678,803,1091.88,1120.9984
58,1791,813,1040.35,1152.0315
59,1679,785,1036.31,1183.264
60,1509,681,1011.88,1214.6842
61,1374,677,983.12,1246.2901
62,1321,639,993.53,1278.032
63,1201,614,990.09,1309.9225
64,1219,620,1003.88,1342.0067
65,1282,635,994.76,1374.2603
66,1434,686,985.93,1406.6467
67,1354,686,1024.89,1439.1468
68,1451,736,1007.99,1471.776
69,1484,783,1002.35,1504.4994
70,1476,758,1000.46,1537.3028
71,1518,766,1000.93,1570.2158
72,1402,754,1010.67,1603.2279
73,1527,774,1036.16,1636.3661
74,1595,745,1022.35,1669.6352
75,1670,798,1020.55,1703.0291
76,1650,787,1010.09,1736.5419
77,1673,772,1036.66,1770.1514
78,1667,750,1009.46,1803.8334
79,1549,761,1054.18,1837.6381
80,1676,824,1010.22,1871.5176
81,1628,802,1003.6,1905.488
82,1683,817,1089.16,1939.6246
83,1845,829,1107.68,1973.88
84,1808,832,1058.87,2008.2361
85,1875,901,1019.83,2042.7021
86,1823,858,1019.69,2077.2851
87,1836,851,1047.52,2112.0158
88,1831,807,1022.94,2146.888
89,1606,827,1031.43,2181.8777
90,1760,835,1057.68,2216.9827
91,1661,781,1012.53,2252.2023
92,1648,800,1061.59,2287.5471
93,1663,804,1029.51,2322.9847
94,1647,753,994.34,2358.5916
95,1591,737,1039.35,2394.3486
96,1691,797,1047.92,2430.2889
97,1645,800,1038.76,2466.3447
98,1750,809,1019.34,2502.5689
99,1836,767,1023.78,2538.9559
