frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1651,803,16919.4,0.141
2,1701,848,1017.25,0.4304
3,1779,845,1247.05,0.856
4,1852,854,1177.58,1.4288
5,1791,842,1090.88,2.1501
6,1789,839,1070.25,3.0114
7,1843,883,1040.03,4.0109
8,1870,799,1029.9,5.1439
9,1795,809,1108.16,6.4245
10,1769,825,1026.74,7.8415
11,1648,864,1012.3,9.3987
12,1646,806,1106.69,11.0977
13,1529,741,1158.56,12.9329
14,1496,725,1268.9,14.9068
15,1405,738,1065.61,17.0194
16,1361,682,1051.29,19.2691
17,1315,664,1016.65,21.6456
18,1385,662,1003.68,24.1369
19,1434,671,1051.76,26.7275
20,1560,765,1093.91,29.4159
21,1664,756,1030.69,32.1989
22,1779,781,1112.94,35.0678
23,1827,733,1107.22,38.0198
24,1723,715,1070.0,41.0528
25,1705,715,1039.61,44.1565
26,1771,642,1128.18,47.324
27,1628,693,1005.26,50.5547
28,1682,719,1037.56,53.8399
29,1664,693,1174.53,57.1782
30,1503,660,1092.14,60.5661
31,1482,702,1233.62,64.0007
32,1522,689,1015.34,67.4761
33,1466,669,1022.07,70.9838
34,1518,698,1037.94,74.5141
35,1519,672,1041.88,78.0631
36,1543,688,983.06,81.6316
37,1530,719,1005.94,85.2202
38,1628,775,1102.33,88.8234
39,1667,823,1031.83,92.4157
40,1628,784,1010.69,95.9497
41,1603,787,1050.44,99.433
42,1554,752,1035.9,102.8717
43,1466,760,1112.85,106.2768
44,1440,738,992.41,109.646
45,1412,692,946.46,112.9897
46,1403,699,990.61,116.3097
47,1487,761,1028.25,119.6147
48,1511,732,1011.22,122.913
49,1585,765,1076.02,126.206
50,1606,740,1104.63,129.4993
51,1614,769,1111.96,132.7971
52,1590,793,1034.46,136.106
53,1585,798,1040.02,139.4372
54,1641,818,1045.69,142.7841
55,1607,794,1082.92,146.1488
56,1647,821,1329.57,149.5312
57,1692,771,991.78,152.9376
58,1757,805,1107.95,156.3788
59,1698,802,1248.82,159.8567
60,1765,847,1045.32,163.3746
61,1724,832,1002.29,166.9252
62,1666,817,1008.6,170.5106
63,1752,834,1009.04,174.1418
64,1619,776,1044.55,177.8299
65,1587,801,1168.18,181.5922
66,1597,797,1047.61,185.4371
67,1579,783,1132.2,189.3701
68,1572,777,1082.82,193.4035
69,1611,812,1041.99,197.5531
70,1577,789,998.11,201.8322
71,1622,794,1047.57,206.2487
72,1646,887,1032.03,210.8189
73,1681,859,1193.32,215.5585
74,1693,891,1089.23,220.4789
75,1679,903,1273.92,225.5933
76,1769,948,1014.21,230.9121
77,1769,948,1019.86,236.4524
78,1747,1020,1016.86,242.2354
79,1818,1064,1040.19,248.2732
80,1855,1117,1053.89,254.5961
81,1890,1104,1096.4,261.2175
82,1837,1088,1078.75,268.1598
83,1832,1104,1039.64,275.4428
84,1790,1122,1047.94,283.091
85,1713,1138,1112.78,291.1268
86,1691,1076,1189.07,299.5668
87,1690,1140,1030.83,308.4221
88,1692,1081,1022.8,317.7024
89,1724,1095,1033.19,327.4104
90,1692,1062,1091.62,337.5756
91,1647,1020,1092.55,348.2093
92,1537,1016,1141.88,359.3249
93,1570,1031,1084.79,370.9385
94,1632,1067,1086.77,383.0589
95,1625,1041,1017.08,395.6985
96,1650,1032,1029.45,408.8546
97,1680,1009,1045.96,422.5457
98,1665,1024,1031.86,436.7891
99,1688,982,1040.67,451.5402
