frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1645,752,1179.66,0.3108
2,1669,708,1032.01,0.9386
3,1545,657,1003.26,1.8883
4,1499,627,997.35,3.1606
5,1511,648,997.33,4.752
6,1503,679,1009.88,6.6729
7,1536,659,998.46,8.9214
8,1612,699,1045.98,11.5001
9,1634,712,1058.35,14.4135
10,1685,663,990.55,17.6654
11,1717,683,1027.13,21.2549
12,1593,607,1020.65,25.1953
13,1555,607,975.9,29.4901
14,1533,587,1007.38,34.137
15,1448,544,966.7,39.1358
16,1363,554,983.6,44.4888
17,1402,548,998.37,50.2058
18,1368,530,979.88,56.2899
19,1457,506,1007.92,62.7506
20,1457,514,965.75,69.5838
21,1431,496,1004.28,76.7916
22,1404,526,995.62,84.3809
23,1253,519,1009.74,92.3518
24,1301,539,975.91,100.7093
25,1214,562,988.12,109.4614
26,1182,549,995.91,118.6054
27,1262,600,1014.02,128.1458
28,1214,583,988.49,138.0841
29,1226,590,1013.0,148.4182
30,1278,622,975.17,159.1561
31,1315,654,1004.96,170.3006
32,1312,628,992.86,181.8522
33,1317,590,1007.76,193.8132
34,1242,571,1012.01,206.1875
35,1171,575,1035.88,218.9771
36,1150,526,958.98,232.1908
37,1210,514,1001.42,245.8391
38,1232,533,987.13,259.9127
39,1295,515,974.67,274.4151
40,1352,458,975.99,289.3447
41,1315,470,971.24,304.7063
42,1296,454,993.11,320.4965
43,1333,498,994.05,336.7152
44,1215,497,984.11,353.3637
45,1090,444,1000.34,370.4367
46,1081,423,1000.96,387.9331
47,1031,407,951.89,405.8492
48,1069,453,984.41,424.1856
49,1191,511,986.01,442.9364
50,1211,488,1006.61,462.0995
51,1262,525,993.55,481.6788
52,1214,516,1010.39,501.6688
53,1170,482,985.76,522.062
54,1091,477,970.92,542.8584
55,1034,494,973.66,564.0567
56,1079,485,982.25,585.6524
57,1045,506,984.02,607.6423
58,1107,531,973.1,630.026
59,1128,529,1007.74,652.7978
60,1117,521,965.16,675.9555
61,1100,524,978.39,699.5045
62,1104,562,1025.75,723.4353
63,1149,540,977.99,747.7498
64,1217,542,1002.35,772.4424
65,1311,592,965.71,797.5115
66,1275,571,1003.7,822.9487
67,1208,586,988.01,848.7515
68,1246,602,1001.35,874.9162
69,1246,568,1011.08,901.4376
70,1267,582,988.67,928.3114
71,1319,590,968.75,955.5371
72,1259,534,980.08,983.1122
73,1244,574,1023.11,1011.0323
74,1234,548,994.54,1039.2977
75,1230,574,1007.05,1067.903
76,1181,570,981.33,1096.8468
77,1183,550,994.6,1126.1271
78,1162,549,968.6,1155.7515
79,1109,508,978.21,1185.7167
80,1102,474,990.22,1216.0197
81,1051,484,1004.97,1246.6547
82,1090,507,994.08,1277.6188
83,1095,470,984.47,1308.9065
84,1140,478,1015.6,1340.5258
85,1122,529,1005.75,1372.4781
86,1193,503,992.75,1404.7654
87,1162,525,988.69,1437.387
88,1193,554,1012.72,1470.3523
89,1206,553,997.32,1503.6815
90,1169,589,989.97,1537.3667
91,1235,609,992.1,1571.4119
92,1206,569,961.49,1605.8106
93,1216,576,992.36,1640.5654
94,1218,580,960.27,1675.6777
95,1262,604,1016.88,1711.1486
96,1253,583,1001.01,1746.9686
97,1236,581,983.38,1783.1427
98,1346,578,1030.35,1819.6691
99,1395,609,999.75,1856.5489
