frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,1896,787,1153.1,0.0475
2,1877,758,1017.76,0.1453
3,1920,757,1019.99,0.2681
4,1943,744,1025.86,0.4318
5,1862,782,1041.84,0.6258
6,1838,803,1051.66,0.9135
7,1955,854,1066.74,1.2864
8,2047,893,1045.96,1.699
9,2167,862,1054.25,2.1869
10,2300,889,1035.07,2.7534
11,2365,851,1061.61,3.4109
12,2425,854,1057.36,4.1047
13,2439,838,1091.95,4.8941
14,2392,907,1057.89,5.7704
15,2183,875,1075.01,6.7311
16,2111,865,1075.36,7.775
17,2111,884,1067.46,8.9123
18,2177,933,1052.48,10.152
19,2266,890,1028.27,11.5012
20,2332,895,1066.34,12.9587
21,2316,893,1031.37,14.5265
22,2301,929,1022.58,16.2086
23,2371,885,1137.83,18.0157
24,2410,892,1103.94,19.9545
25,2382,933,1043.24,22.0295
26,2424,883,1072.14,24.2454
27,2454,848,1105.0,26.6039
28,2387,878,1044.65,29.1339
29,2291,895,1092.19,31.8396
30,2319,920,1084.27,34.7301
31,2246,894,1117.77,37.824
32,2369,948,1035.1,41.1255
33,2423,949,1075.71,44.6395
34,2404,964,1066.96,48.3765
35,2379,971,1071.2,52.3461
36,2463,1029,1074.45,56.5548
37,2517,1097,1117.74,61.0177
38,2629,1142,1095.23,65.7423
39,2689,1085,1065.53,70.7384
40,2650,1097,1074.48,75.9916
41,2636,1087,1076.92,81.5539
42,2629,1128,1065.43,87.4228
43,2695,1172,1088.81,93.6031
44,2682,1193,1124.68,100.1061
45,2742,1191,1062.02,106.946
46,2860,1280,1108.45,114.133
47,2817,1272,1104.11,121.6798
48,2814,1240,1124.5,129.5881
49,2767,1235,1094.01,137.8462
50,2674,1176,1099.84,146.4983
51,2548,1152,1153.11,155.5501
52,2568,1185,1207.32,165.0167
53,2581,1146,1174.4,174.9136
54,2428,1141,1044.52,185.2618
55,2335,1165,1069.46,196.0795
56,2295,1158,1061.23,207.3866
57,2198,1103,1039.97,219.2103
58,2059,1164,1117.89,231.5708
59,2093,1138,1067.34,244.4894
60,2050,1137,1051.01,257.9827
61,2026,1121,1036.32,272.0781
62,2098,1140,1096.18,286.8028
63,2106,1071,1054.44,302.1613
64,2103,1091,1065.93,318.1973
65,2162,1147,1085.63,334.9305
66,2088,1089,1014.01,352.361
67,2026,1105,1064.6,370.4618
68,1976,1094,1047.87,389.3019
69,1967,1075,1063.33,408.8726
70,1993,1147,1079.59,429.1803
71,1967,1110,1072.22,450.2141
72,1927,1164,1046.57,472.0033
73,1887,1220,1080.62,494.4969
74,1950,1234,1154.64,517.6764
75,1994,1284,1214.39,541.6131
76,1946,1282,1154.07,566.2785
77,2005,1245,1036.27,591.6433
78,1968,1255,1077.2,617.7367
79,1963,1281,1073.41,644.5202
80,1960,1245,1046.75,671.975
81,1891,1230,1070.14,700.1379
82,1897,1245,1068.0,728.8634
83,1897,1262,1073.29,758.2291
84,1920,1249,1067.47,788.2632
85,1947,1280,1067.78,818.9191
86,1946,1293,1049.42,850.2054
87,2064,1294,1105.99,881.9933
88,2027,1253,1060.31,914.3872
89,2002,1217,1087.02,947.3866
90,1985,1232,1092.27,980.9143
91,2038,1187,1077.7,1014.9315
92,1944,1119,1031.22,1049.4979
93,1883,1092,1053.0,1084.5262
94,1772,1022,1055.86,1120.0594
95,1684,1004,1045.84,1155.8964
96,1654,943,1046.63,1192.2467
97,1565,907,1061.1,1228.9058
98,1555,900,1045.94,1265.9184
99,1571,922,1009.58,1303.2536
